Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End	Ensembl ID
Cdk1	current symbol	MGI:88351	10	-	69170976	69188742	ENSMUSG00000019942
Cdk1	rat synonym	MGI:96759	7	+	46491698	46505051	ENSMUSG00000063229
Cdk10	current symbol	MGI:2448549	8	+	123951581	123958989	ENSMUSG00000033862
Cdk11b	current symbol	MGI:88353	4	+	155709311	155734395	ENSMUSG00000029062
Cdk13	current symbol	MGI:1916812	13	-	17885309	17979960	ENSMUSG00000041297
Cdk15	current symbol	MGI:3583944	1	+	59296029	59391656	ENSMUSG00000026023
Cdk18	current symbol	MGI:97518	1	-	132041285	132067433	ENSMUSG00000026437
Cdk2	current symbol	MGI:104772	10	-	128533808	128540900	ENSMUSG00000025358
Cdk4	current symbol	MGI:88357	10	+	126899404	126903157	ENSMUSG00000006728
Cdk4	rat synonym	MGI:1096878	8	+	22266615	22285201	ENSMUSG00000044748
Cdk5	current symbol	MGI:101765	5	-	24623239	24628528	ENSMUSG00000028969
Cdk5rap1	current symbol	MGI:1914221	2	-	154177300	154214930	ENSMUSG00000027487
Cdk5rap2	current symbol	MGI:2384875	4	-	70135092	70328672	ENSMUSG00000039298
Cdk5rap3	current symbol	MGI:1933126	11	-	96798252	96807322	ENSMUSG00000018669
Cdk7	current symbol	MGI:102956	13	-	100839139	100867447	ENSMUSG00000069089
Cdkl1	current symbol	MGI:1918341	12	-	69793622	69838041	ENSMUSG00000020990
Cdkl2	current symbol	MGI:1858227	5	-	92153933	92191742	ENSMUSG00000029403
Cdkn1a	current symbol	MGI:104556	17	+	29309953	29319696	ENSMUSG00000023067
Cdkn1a	human synonym	MGI:1919605	15	-	85691173	85695898	ENSMUSG00000064284
Cdkn1c	current symbol	MGI:104564	7	-	143012076	143014735	ENSMUSG00000037664
Cdkn2a	current symbol	MGI:104738	4	-	89192710	89212856	ENSMUSG00000044303
Cdkn2aipnl	current symbol	MGI:1261797	11	+	51858488	51868161	ENSMUSG00000020392
Cdkn2b	current symbol	MGI:104737	4	-	89224536	89229276	ENSMUSG00000073802
Cdkn3	current symbol	MGI:1919641	14	+	46997912	47008987	ENSMUSG00000037628
Cdr2	current symbol	MGI:1100885	7	-	120556259	120581535	ENSMUSG00000030878
Cdr2l	current symbol	MGI:2684867	11	+	115272742	115286958	ENSMUSG00000050910
Cdt1	current symbol	MGI:1914427	8	+	123294754	123299869	ENSMUSG00000006585
Cdv3	current symbol	MGI:2448759	9	-	103230301	103243034	ENSMUSG00000032803
Cdv3	human symbol	MGI:3646628	14	-	42978394	42979928	ENSMUSG00000090389
Cdyl2	current symbol	MGI:1923046	8	-	117301139	117459730	ENSMUSG00000031758
Cebpd	current symbol	MGI:103573	16	+	15705150	15707409	ENSMUSG00000071637
Cebpg	current symbol	MGI:104982	7	-	34745847	34755991	ENSMUSG00000056216
Cebpz	current symbol	MGI:109386	17	-	79226435	79244495	ENSMUSG00000024081
Cebpz	human synonym	MGI:109247	10	+	127126662	127132160	ENSMUSG00000025408
Cebpz	human synonym	MGI:109247	10	+	127126662	127132160	ENSMUSG00000116429
Cecr5	old symbol	MGI:2136976	6	-	120486455	120508280	ENSMUSG00000058979
Celf4	current symbol	MGI:1932407	18	-	25610689	25887214	ENSMUSG00000024268
Cenpa	current symbol	MGI:88375	5	+	30824214	30832181	ENSMUSG00000029177
Cenpb	current symbol	MGI:88376	2	-	131019209	131021974	ENSMUSG00000068267
Cenpe	current symbol	MGI:1098230	3	+	134918324	134979301	ENSMUSG00000045328
Cenpf	current symbol	MGI:1313302	1	-	189372803	189420283	ENSMUSG00000026605
Cenph	current symbol	MGI:1349448	13	-	100896182	100912407	ENSMUSG00000045273
Cenpi	current symbol	MGI:2147897	X	+	133208833	133263388	ENSMUSG00000031262
Cenpi	zebrafish symbol	MGI:1343054	X	+	132959936	132987568	ENSMUSG00000031256
Cenpj	current symbol	MGI:2684927	14	-	56764218	56812882	ENSMUSG00000064128
Cenpk	current symbol	MGI:1926210	13	+	104365474	104386130	ENSMUSG00000021714
Cenpl	current symbol	MGI:1917704	1	+	160898337	160914294	ENSMUSG00000026708
Cenpm	current symbol	MGI:1913820	15	-	82117980	82128949	ENSMUSG00000068101
Cenpn	current symbol	MGI:1919405	8	+	117648469	117668246	ENSMUSG00000031756
Cenpo	current symbol	MGI:1923800	12	-	4246004	4284294	ENSMUSG00000020652
Cenpq	current symbol	MGI:1933744	17	-	41233942	41245938	ENSMUSG00000023919
Cenpt	current symbol	MGI:2443939	8	-	106571305	106579910	ENSMUSG00000036672
Cenpw	current symbol	MGI:1913561	10	-	30072005	30076599	ENSMUSG00000075266
Cep152	current symbol	MGI:2139083	2	-	125405008	125467033	ENSMUSG00000068394
Cep164	current symbol	MGI:2384878	9	-	45678244	45739984	ENSMUSG00000043987
Cep250	current symbol	MGI:108084	2	+	155798378	155840820	ENSMUSG00000038241
Cep290	current symbol	MGI:2384917	10	+	100323410	100409527	ENSMUSG00000019971
Cep350	current symbol	MGI:1921331	1	-	155720710	155849001	ENSMUSG00000033671
Cep55	current symbol	MGI:1921357	19	+	38043459	38062871	ENSMUSG00000024989
Cep57l1	current symbol	MGI:1915511	10	-	41594836	41685867	ENSMUSG00000019813
Cep76	current symbol	MGI:1923401	18	-	67750870	67774406	ENSMUSG00000073542
Cept1	current symbol	MGI:2139793	3	-	106409576	106455118	ENSMUSG00000040774
Cetn2	zebrafish symbol	MGI:1347086	18	-	9618419	9619469	ENSMUSG00000050996
Cetn2	current symbol	MGI:1347085	X	-	71957137	71961967	ENSMUSG00000031347
Cfdp1	current symbol	MGI:1344403	8	-	112495123	112580923	ENSMUSG00000031954
Cfl2	current symbol	MGI:101763	12	-	54905594	54909662	ENSMUSG00000062929
Cfp	current symbol	MGI:97545	X	-	20791693	20797794	ENSMUSG00000001128
Cgnl1	current symbol	MGI:1915428	9	-	71533791	71678884	ENSMUSG00000032232
Cgref1	current symbol	MGI:1915817	5	-	31090487	31102771	ENSMUSG00000029161
Ch25h	current symbol	MGI:1333869	19	-	34451183	34452548	ENSMUSG00000050370
Chac1	current symbol	MGI:1916315	2	+	119181723	119184807	ENSMUSG00000027313
Chac2	current symbol	MGI:1915294	11	-	30926707	30936350	ENSMUSG00000020309
Chaf1a	current symbol	MGI:1351331	17	+	56347416	56375026	ENSMUSG00000002835
Chaf1b	current symbol	MGI:1314881	16	+	93680801	93703003	ENSMUSG00000022945
Chchd1	current symbol	MGI:1913371	14	+	20753095	20754493	ENSMUSG00000063787
Chchd10	current symbol	MGI:2143558	10	+	75768964	75773581	ENSMUSG00000049422
Chchd3	current symbol	MGI:1913325	6	-	32769142	33037206	ENSMUSG00000053768
Chchd4	current symbol	MGI:1919420	6	-	91441258	91450405	ENSMUSG00000034203
Chchd5	current symbol	MGI:1913420	2	+	128971620	128976032	ENSMUSG00000037938
Chchd6	current symbol	MGI:1913348	6	-	89360128	89572634	ENSMUSG00000030086
Chchd7	zebrafish symbol	MGI:1913325	6	-	32769142	33037206	ENSMUSG00000053768
Chchd7	current symbol	MGI:1913683	4	+	3938888	3951046	ENSMUSG00000042198
Chd1	current symbol	MGI:88393	17	+	15925229	15992872	ENSMUSG00000023852
Chd2	current symbol	MGI:2448567	7	-	73076400	73191494	ENSMUSG00000078671
Chd2	human synonym	MGI:1196281	16	-	96392040	96971952	ENSMUSG00000050272
Chd3	current symbol	MGI:1344395	11	-	69234099	69260232	ENSMUSG00000018474
Chd4	current symbol	MGI:1344380	6	+	125073144	125107554	ENSMUSG00000063870
Chd8	current symbol	MGI:1915022	14	-	52435608	52495237	ENSMUSG00000053754
Chd9	current symbol	MGI:1924001	8	+	91554980	91781144	ENSMUSG00000056608
Chek1	current symbol	MGI:1202065	9	-	36619935	36637897	ENSMUSG00000032113
Cherp	current symbol	MGI:106417	8	-	73214333	73229070	ENSMUSG00000052488
Chfr	current symbol	MGI:2444898	5	+	110283708	110319838	ENSMUSG00000014668
Chic2	current symbol	MGI:1921527	5	-	75165665	75205302	ENSMUSG00000029229
Chid1	current symbol	MGI:1915288	7	-	141073049	141119770	ENSMUSG00000025512
Chm	current symbol	MGI:892979	X	-	111950290	112095214	ENSMUSG00000025531
Chm	zebrafish symbol	MGI:101913	1	-	175509803	175520198	ENSMUSG00000078185
Chm	human synonym	MGI:103177	1	+	170978282	170988699	ENSMUSG00000056569
Chmp1a	current symbol	MGI:1920159	8	-	123931003	123939502	ENSMUSG00000000743
Chmp1b	current symbol	MGI:1914314	18	+	67338437	67340960	ENSMUSG00000109901
Chmp1b	zebrafish symbol	MGI:1914278	X	-	106826357	106859940	ENSMUSG00000031242
Chmp4b	current symbol	MGI:1922858	2	+	154498949	154536703	ENSMUSG00000038467
Chmp5	current symbol	MGI:1924209	4	+	40948553	40965302	ENSMUSG00000028419
Chmp6	current symbol	MGI:3583942	11	+	119804267	119810374	ENSMUSG00000025371
Chmp7	current symbol	MGI:1913922	14	-	69954449	69969990	ENSMUSG00000034190
Chn1	current symbol	MGI:1915674	2	-	73441004	73605690	ENSMUSG00000056486
Chordc1	current symbol	MGI:1914167	9	+	18203563	18225296	ENSMUSG00000001774
Chpf	current symbol	MGI:106576	1	-	75451213	75455951	ENSMUSG00000032997
Chpt1	current symbol	MGI:2384841	10	-	88305376	88339855	ENSMUSG00000060002
Chrac1	current symbol	MGI:2135796	15	+	72962261	72965924	ENSMUSG00000068391
Chrnb1	current symbol	MGI:87890	11	-	69674862	69686742	ENSMUSG00000041189
Chst1	current symbol	MGI:1924219	2	+	92430052	92445595	ENSMUSG00000027221
Chst11	current symbol	MGI:1927166	10	+	82821332	83031734	ENSMUSG00000034612
Chst12	current symbol	MGI:1929064	5	+	140491360	140510993	ENSMUSG00000036599
Chst14	current symbol	MGI:1919386	2	+	118756978	118759066	ENSMUSG00000074916
Chst7	current symbol	MGI:1891767	X	+	19925799	19963760	ENSMUSG00000037347
Chsy1	current symbol	MGI:2681120	7	+	65759263	65823546	ENSMUSG00000032640
Chsy3	current symbol	MGI:1926173	18	+	59308412	59544408	ENSMUSG00000058152
Chtf18	current symbol	MGI:2384887	17	-	25938004	25946409	ENSMUSG00000019214
Chtf8	current symbol	MGI:2443370	8	-	107610495	107620225	ENSMUSG00000046691
Ciao1	current symbol	MGI:1346998	2	-	127082858	127089736	ENSMUSG00000003662
Ciapin1	current symbol	MGI:1922083	8	-	95546432	95564986	ENSMUSG00000031781
Cic	current symbol	MGI:1918972	7	+	24967129	24993584	ENSMUSG00000005442
Cic	human synonym	MGI:1345283	16	-	17743087	17746083	ENSMUSG00000003528
Cilp	current symbol	MGI:2444507	9	+	65172462	65187887	ENSMUSG00000042254
Cinp	current symbol	MGI:1914486	12	-	110839044	110855579	ENSMUSG00000021276
Cirh1a	old symbol	MGI:1096573	8	+	107620268	107649720	ENSMUSG00000041438
Cisd2	current symbol	MGI:1914256	3	-	135112173	135129194	ENSMUSG00000028165
Cited2	current symbol	MGI:1306784	10	+	17598966	17601422	ENSMUSG00000039910
Ciz1	current symbol	MGI:1920234	2	+	32252724	32268311	ENSMUSG00000039205
Ckap2l	current symbol	MGI:1917716	2	-	129110130	129139132	ENSMUSG00000048327
Ckap4	current symbol	MGI:2444926	10	-	84362169	84369752	ENSMUSG00000046841
Ckap5	current symbol	MGI:1923036	2	+	91357107	91451009	ENSMUSG00000040549
Ckb	human synonym	MGI:1328313	15	-	89310563	89314111	ENSMUSG00000022617
Ckb	current symbol	MGI:88407	12	-	111635795	111638772	ENSMUSG00000001270
Cklf	current symbol	MGI:1922708	8	+	104977493	104991570	ENSMUSG00000054400
Cklf	old symbol	MGI:2447160	8	-	105007674	105019813	ENSMUSG00000074127
Cklf	synonym	MGI:1338056	14	+	99536127	99550848	ENSMUSG00000005148
Cklf	synonym	MGI:1929988	6	+	90439558	90452220	ENSMUSG00000030087
Cks2	current symbol	MGI:1913447	13	+	51799268	51804696	ENSMUSG00000062248
Clasrp	current symbol	MGI:1855695	7	-	19314960	19338411	ENSMUSG00000061028
Clca1	current symbol	MGI:1346342	3	-	144710298	144738537	ENSMUSG00000028255
Clca1	zebrafish symbol	MGI:2139758	3	-	144776024	144805204	ENSMUSG00000036960
Clca1	old symbol	MGI:1316732	3	-	144435438	144466738	ENSMUSG00000056025
Clca1	zebrafish symbol	MGI:1931471	3	-	144502320	144525255	ENSMUSG00000028262
Clca1	zebrafish symbol	MGI:2181989	3	-	144528384	144555063	ENSMUSG00000037033
Clca1	zebrafish symbol	MGI:2139744	3	-	144658247	144680806	ENSMUSG00000068547
Clca1	zebrafish symbol	MGI:2139790	3	-	144616682	144638290	ENSMUSG00000074195
Clcc1	current symbol	MGI:2385186	3	+	108561229	108586156	ENSMUSG00000027884
Clcn4-2	old symbol	MGI:104571	7	-	7285308	7303837	ENSMUSG00000000605
Clcn7	current symbol	MGI:1347048	17	+	25352365	25381078	ENSMUSG00000036636
Cldn12	current symbol	MGI:1929288	5	-	5555015	5564976	ENSMUSG00000046798
Clec14a	current symbol	MGI:1914114	12	-	58311506	58316044	ENSMUSG00000045930
Clic1	current symbol	MGI:2148924	17	+	35269219	35277695	ENSMUSG00000007041
Clic4	current symbol	MGI:1352754	4	-	134941280	135000071	ENSMUSG00000037242
Clint1	current symbol	MGI:2144243	11	+	45742797	45801452	ENSMUSG00000006169
Clip1	current symbol	MGI:1928401	5	-	123715857	123822527	ENSMUSG00000049550
Clip2	current symbol	MGI:1313136	5	-	134518237	134581288	ENSMUSG00000063146
Clip3	current symbol	MGI:1923936	7	+	29991153	30007792	ENSMUSG00000013921
Clk1	current symbol	MGI:107403	1	-	58451147	58463247	ENSMUSG00000026034
Clk1	human synonym	MGI:1918943	12	-	28644172	28673376	ENSMUSG00000036655
Clk1	human synonym	MGI:107207	7	-	118108881	118132529	ENSMUSG00000030652
Clk2	current symbol	MGI:1098669	3	+	89072102	89084228	ENSMUSG00000068917
Clk2	human synonym	MGI:1918968	17	-	25318544	25334941	ENSMUSG00000024170
Cln5	current symbol	MGI:2442253	14	+	103307679	103315064	ENSMUSG00000022125
Clns1a	current symbol	MGI:109638	7	+	97345864	97370000	ENSMUSG00000025439
Clock	current symbol	MGI:99698	5	-	76357715	76452639	ENSMUSG00000029238
Clp1	current symbol	MGI:2138968	2	-	84553466	84557631	ENSMUSG00000027079
Clp1	human synonym	MGI:2152907	18	+	9707648	9877995	ENSMUSG00000036103
Clp1	old symbol	MGI:2385923	11	+	103007151	103010551	ENSMUSG00000048878
Clpp	current symbol	MGI:1858213	17	+	57297305	57303188	ENSMUSG00000002660
Clptm1l	current symbol	MGI:2442892	13	+	73752125	73768724	ENSMUSG00000021610
Clpx	current symbol	MGI:1346017	9	+	65201542	65237940	ENSMUSG00000015357
Clstn1	current symbol	MGI:1929895	4	+	149670925	149733356	ENSMUSG00000039953
Clta	current symbol	MGI:894297	4	+	44004452	44032846	ENSMUSG00000028478
Cltb	current symbol	MGI:1921575	13	-	54740214	54759157	ENSMUSG00000047547
Cltc	current symbol	MGI:2388633	11	-	86585177	86648391	ENSMUSG00000047126
Cluap1	current symbol	MGI:1924029	16	+	3726665	3759011	ENSMUSG00000014232
Clybl	current symbol	MGI:1916884	14	+	122419116	122639646	ENSMUSG00000025545
Cmas	current symbol	MGI:1337124	6	+	142702468	142721440	ENSMUSG00000030282
Cmc1	current symbol	MGI:1915149	9	-	117893590	117979245	ENSMUSG00000039163
Cmc1	human synonym	MGI:95776	19	+	16110195	16364827	ENSMUSG00000024639
Cmtm3	current symbol	MGI:2447162	8	+	105066042	105074304	ENSMUSG00000031875
Cmtm4	current symbol	MGI:2142888	8	-	105074823	105122439	ENSMUSG00000096188
Cmtm6	current symbol	MGI:2447165	9	+	114560184	114578412	ENSMUSG00000032434
Cmtm7	current symbol	MGI:2447166	9	-	114585904	114610924	ENSMUSG00000032436
Cnbp	current symbol	MGI:88431	6	-	87819597	87828088	ENSMUSG00000030057
Cndp2	current symbol	MGI:1913304	18	-	84685590	84703827	ENSMUSG00000024644
Cnih4	current symbol	MGI:1925828	1	+	180977437	180996559	ENSMUSG00000062169
Cnn1	current symbol	MGI:104979	9	+	22010501	22020517	ENSMUSG00000001349
Cnn2	current symbol	MGI:105093	10	+	79824434	79831234	ENSMUSG00000004665
Cnnm2	current symbol	MGI:2151054	19	+	46750035	46868631	ENSMUSG00000064105
Cnot1	current symbol	MGI:2442402	8	-	96446079	96534092	ENSMUSG00000036550
Cnot10	current symbol	MGI:1926143	9	-	114414946	114469252	ENSMUSG00000056167
Cnot2	current symbol	MGI:1919318	10	-	116321066	116417416	ENSMUSG00000020166
Cnp	current symbol	MGI:88437	11	+	100465765	100472565	ENSMUSG00000006782
Cnp	synonym	MGI:97369	1	-	86594015	86598295	ENSMUSG00000026241
Cnpy2	current symbol	MGI:1928477	10	+	128157972	128163056	ENSMUSG00000025381
Cnpy3	current symbol	MGI:1919279	17	-	47046631	47063140	ENSMUSG00000023973
Cnpy4	current symbol	MGI:1913705	5	+	138185768	138192180	ENSMUSG00000036968
Cnst	current symbol	MGI:2445141	1	+	179374009	179455043	ENSMUSG00000038949
Cntln	current symbol	MGI:2443104	4	+	84802546	85050158	ENSMUSG00000038070
Coasy	current symbol	MGI:1918993	11	+	100973391	100977445	ENSMUSG00000001755
Cobl	current symbol	MGI:105056	11	-	12186676	12415022	ENSMUSG00000020173
Coch	current symbol	MGI:1278313	12	+	51640156	51652558	ENSMUSG00000020953
Cog1	current symbol	MGI:1333873	11	+	113539995	113557880	ENSMUSG00000018661
Cog4	current symbol	MGI:2142808	8	+	111573232	111608859	ENSMUSG00000031753
Cog6	current symbol	MGI:1914792	3	-	52889544	52924644	ENSMUSG00000027742
Cog7	current symbol	MGI:2685013	7	-	121522059	121580940	ENSMUSG00000034951
Cog8	current symbol	MGI:2142885	8	-	107775341	107783369	ENSMUSG00000031916
Coil	current symbol	MGI:104842	11	+	88864761	88882439	ENSMUSG00000033983
Col11a1	current symbol	MGI:88446	3	+	113824189	114014367	ENSMUSG00000027966
Col12a1	current symbol	MGI:88448	9	-	79506273	79626113	ENSMUSG00000032332
Col14a1	current symbol	MGI:1341272	15	+	55171146	55384199	ENSMUSG00000022371
Col16a1	current symbol	MGI:1095396	4	+	129941638	129993070	ENSMUSG00000040690
Col18a1	current symbol	MGI:88451	10	-	76888013	77002351	ENSMUSG00000001435
Col1a1	current symbol	MGI:88467	11	+	94827050	94843868	ENSMUSG00000001506
Col1a2	current symbol	MGI:88468	6	+	4505618	4541543	ENSMUSG00000029661
Col24a1	current symbol	MGI:1918605	3	+	144998233	145257766	ENSMUSG00000028197
Col3a1	current symbol	MGI:88453	1	+	45350698	45388866	ENSMUSG00000026043
Col4a1	current symbol	MGI:88454	8	-	11248423	11362826	ENSMUSG00000031502
Col4a2	current symbol	MGI:88455	8	+	11362805	11499287	ENSMUSG00000031503
Col4a3bp	old symbol	MGI:1915268	13	+	96679126	96776675	ENSMUSG00000021669
Col4a5	current symbol	MGI:88456	X	+	140258381	140472230	ENSMUSG00000031274
Col5a1	current symbol	MGI:88457	2	+	27776437	27929526	ENSMUSG00000026837
Col5a2	current symbol	MGI:88458	1	-	45413491	45542442	ENSMUSG00000026042
Col5a3	current symbol	MGI:1858212	9	-	20681353	20726363	ENSMUSG00000004098
Col6a3	current symbol	MGI:88461	1	-	90694582	90771710	ENSMUSG00000048126
Col7a1	current symbol	MGI:88462	9	+	108782654	108813943	ENSMUSG00000025650
Colec12	current symbol	MGI:2152907	18	+	9707648	9877995	ENSMUSG00000036103
Commd1	current symbol	MGI:109474	11	-	22849728	22934539	ENSMUSG00000051355
Commd10	current symbol	MGI:1916706	18	+	47091917	47242435	ENSMUSG00000042705
Commd2	current symbol	MGI:1098806	3	-	57551770	57559105	ENSMUSG00000036513
Commd3	current symbol	MGI:88218	2	+	18677246	18681042	ENSMUSG00000051154
Commd4	current symbol	MGI:1913449	9	-	57062319	57065615	ENSMUSG00000032299
Commd6	current symbol	MGI:1913450	14	-	101871202	101877907	ENSMUSG00000075486
Commd7	current symbol	MGI:1914197	2	-	153458853	153474701	ENSMUSG00000056941
Commd8	current symbol	MGI:1343485	5	-	72313919	72325532	ENSMUSG00000029213
Commd9	current symbol	MGI:1923751	2	+	101716607	101731984	ENSMUSG00000027163
Comt	current symbol	MGI:88470	16	-	18225636	18245602	ENSMUSG00000000326
Copb1	current symbol	MGI:1917599	7	-	113814794	113853915	ENSMUSG00000030754
Copb2	current symbol	MGI:1354962	9	+	98445784	98470428	ENSMUSG00000032458
Copg2	current symbol	MGI:1858683	6	-	30747552	30873712	ENSMUSG00000025607
Cops2	current symbol	MGI:1330276	2	-	125672222	125701002	ENSMUSG00000027206
Cops3	current symbol	MGI:1349409	11	-	59708621	59730664	ENSMUSG00000019373
Cops5	current symbol	MGI:1349415	1	-	10094825	10108384	ENSMUSG00000025917
Cops6	current symbol	MGI:1349439	5	+	138159364	138162246	ENSMUSG00000019494
Cops7a	current symbol	MGI:1349400	6	-	124935376	124942501	ENSMUSG00000030127
Cops7a	zebrafish symbol	MGI:1349388	1	+	86510363	86534550	ENSMUSG00000026240
Cops7b	current symbol	MGI:1349388	1	+	86510363	86534550	ENSMUSG00000026240
Cops8	current symbol	MGI:1915363	1	+	90531147	90541063	ENSMUSG00000034432
Copz2	current symbol	MGI:1929008	11	+	96740702	96752029	ENSMUSG00000018672
Coq10b	current symbol	MGI:1915126	1	+	55091929	55111861	ENSMUSG00000025981
Coq2	current symbol	MGI:1919133	5	-	100802589	100822154	ENSMUSG00000029319
Coq3	current symbol	MGI:101813	4	+	21879673	21912162	ENSMUSG00000028247
Coq4	current symbol	MGI:1098826	2	+	29677505	29687947	ENSMUSG00000026798
Coq5	current symbol	MGI:1098643	5	+	115417752	115435029	ENSMUSG00000041733
Coq6	current symbol	MGI:1924408	12	+	84408530	84420570	ENSMUSG00000021235
Coq7	current symbol	MGI:107207	7	-	118108881	118132529	ENSMUSG00000030652
Coro1a	current symbol	MGI:1345961	7	-	126298946	126303925	ENSMUSG00000030707
Coro1b	current symbol	MGI:1345963	19	+	4198618	4204034	ENSMUSG00000024835
Coro1c	current symbol	MGI:1345964	5	-	113980500	114046767	ENSMUSG00000004530
Cotl1	current symbol	MGI:1919292	8	-	120535961	120567283	ENSMUSG00000031827
Cox10	current symbol	MGI:1917633	11	-	63853453	63970294	ENSMUSG00000042148
Cox16	current symbol	MGI:1913522	12	-	81405800	81531901	ENSMUSG00000091803
Cox18	current symbol	MGI:2448532	5	-	90362583	90371860	ENSMUSG00000035505
Cox5a	current symbol	MGI:88474	9	+	57428557	57439709	ENSMUSG00000000088
Cox6a1	current symbol	MGI:103099	5	-	115483711	115487017	ENSMUSG00000041697
Cox6a1	zebrafish symbol	MGI:104649	7	-	127804607	127805538	ENSMUSG00000030785
Cox6b2	zebrafish symbol	MGI:107460	7	-	30316396	30325539	ENSMUSG00000036751
Cox6b2	current symbol	MGI:3044182	7	-	4754791	4756093	ENSMUSG00000051811
Cox7a2l	current symbol	MGI:106015	17	-	83809346	83821762	ENSMUSG00000024248
Cox7b	current symbol	MGI:1913392	X	+	105059306	105066056	ENSMUSG00000031231
Cox7b	zebrafish symbol	MGI:1925424	5	-	71600167	71705548	ENSMUSG00000049387
Cpa6	current symbol	MGI:3045348	1	-	10394945	10790170	ENSMUSG00000042501
Cpa6	human synonym	MGI:88596	7	+	26006617	26014513	ENSMUSG00000074254
Cpa6	human synonym	MGI:88597	7	+	26534764	26542689	ENSMUSG00000005547
Cpd	current symbol	MGI:107265	11	-	76669250	76737844	ENSMUSG00000020841
Cpd	synonym	MGI:1347354	7	-	81250229	81356673	ENSMUSG00000025813
Cpe	current symbol	MGI:101932	8	-	65045576	65146088	ENSMUSG00000037852
Cpne1	current symbol	MGI:2386621	2	-	155913765	155953847	ENSMUSG00000074643
Cpne1	rat symbol	MGI:1922960	2	-	155933876	155953847	ENSMUSG00000089824
Cpne8	current symbol	MGI:1914121	15	-	90371684	90563591	ENSMUSG00000052560
Cpox	current symbol	MGI:104841	16	+	58490571	58500754	ENSMUSG00000022742
Cpped1	current symbol	MGI:2443300	16	-	11621585	11727309	ENSMUSG00000065979
Cpsf2	current symbol	MGI:1861601	12	+	101942247	101972683	ENSMUSG00000041781
Cpsf3	current symbol	MGI:1859328	12	+	21336274	21365057	ENSMUSG00000054309
Cpsf3l	old symbol	MGI:1919207	4	+	155954006	155973561	ENSMUSG00000029034
Cpsf6	current symbol	MGI:1913948	10	-	117180572	117212903	ENSMUSG00000055531
Cpt1a	current symbol	MGI:1098296	19	+	3372334	3435733	ENSMUSG00000024900
Cpt1c	current symbol	MGI:2446526	7	-	44608796	44624275	ENSMUSG00000007783
Cpt2	current symbol	MGI:109176	4	-	107761179	107780786	ENSMUSG00000028607
Cpxm1	current symbol	MGI:1934569	2	-	130232695	130239494	ENSMUSG00000027408
Crabp1	current symbol	MGI:88490	9	+	54672032	54680394	ENSMUSG00000032291
Crabp2	current symbol	MGI:88491	3	+	87856000	87860679	ENSMUSG00000004885
Crbn	current symbol	MGI:1913277	6	-	106757162	106777038	ENSMUSG00000005362
Crcp	current symbol	MGI:1100818	5	+	130058147	130089628	ENSMUSG00000025532
Creb1	current symbol	MGI:88494	1	+	64571963	64643707	ENSMUSG00000025958
Creb3	current symbol	MGI:99946	4	+	43562658	43567061	ENSMUSG00000028466
Creb3	human synonym	MGI:1916603	3	-	90144807	90150819	ENSMUSG00000027938
Creb3l1	current symbol	MGI:1347062	2	-	91812673	91854515	ENSMUSG00000027230
Crebbp	current symbol	MGI:1098280	16	-	3899198	4031864	ENSMUSG00000022521
Crebzf	current symbol	MGI:2675296	7	+	90091937	90097202	ENSMUSG00000051451
Creld1	current symbol	MGI:2152539	6	+	113460317	113470304	ENSMUSG00000030284
Crim1	current symbol	MGI:1354756	17	+	78507677	78684021	ENSMUSG00000024074
Crip1	human synonym	MGI:1917505	11	+	17001859	17029372	ENSMUSG00000044629
Crip1	current symbol	MGI:88501	12	+	113115632	113117499	ENSMUSG00000006360
Cript	current symbol	MGI:1929655	17	+	87332989	87343236	ENSMUSG00000024146
Crispld2	current symbol	MGI:1926142	8	+	120719177	120779532	ENSMUSG00000031825
Crk	current symbol	MGI:88508	11	+	75570085	75597734	ENSMUSG00000017776
Crlf3	current symbol	MGI:1860086	11	-	79937319	79971817	ENSMUSG00000017561
Crlf3	rat synonym	MGI:1341724	13	-	14225244	14238073	ENSMUSG00000021302
Crocc	current symbol	MGI:3529431	4	-	140743948	140787861	ENSMUSG00000040860
Crot	current symbol	MGI:1921364	5	-	9016033	9047324	ENSMUSG00000003623
Crtap	current symbol	MGI:1891221	9	-	114204204	114219743	ENSMUSG00000032431
Cry1	current symbol	MGI:1270841	10	-	84967564	85020918	ENSMUSG00000020038
Cryab	current symbol	MGI:88516	9	+	50662625	50667936	ENSMUSG00000032060
Cryzl1	current symbol	MGI:1913859	16	-	91486210	91525690	ENSMUSG00000058240
Cs	current symbol	MGI:88529	10	+	128173603	128198348	ENSMUSG00000005683
Cs	human symbol	MGI:1919082	10	-	99593567	99595346	ENSMUSG00000046934
Cs	synonym	MGI:97592	8	+	84699622	84723072	ENSMUSG00000005469
Csde1	current symbol	MGI:92356	3	+	102927742	102965502	ENSMUSG00000068823
Csf1r	current symbol	MGI:1339758	18	+	61238644	61264211	ENSMUSG00000024621
Csf2ra	current symbol	MGI:1339754	19	-	61212395	61216867	ENSMUSG00000059326
Csgalnact1	current symbol	MGI:2442354	8	-	68809433	69187798	ENSMUSG00000036356
Csk	current symbol	MGI:88537	9	-	57533929	57560758	ENSMUSG00000032312
Csnk1d	current symbol	MGI:1355272	11	-	120849816	120882156	ENSMUSG00000025162
Csnk1e	current symbol	MGI:1351660	15	-	79302056	79339767	ENSMUSG00000022433
